reactant_smiles,reactant_iupac,product_smiles,product_iupac,reagent_smiles,solvent_smiles,catalyst_smiles
C(c1c(ccc2ccccc12)O)=O.CC1=CN=C(C=C1)N.[C-]#[N+]C1CCCCC1,2-hydroxynaphthalene-1-carbaldehyde|5-methylpyridin-2-amine|isocyanocyclohexane,Cc1ccc2nc(c3c(ccc4ccccc34)O)c(NC3CCCCC3)n2c1,"1-[3-(cyclohexylamino)-6-methylimidazo[1,2-a]pyridin-2-yl]naphthalen-2-ol",,CC(C)O.CC(C)O,O=C(O)C(F)(F)F
C(c1c2ccccc2c(c2ccccc12)[Cl])=O.CC1=CN=C(C=C1)N.[C-]#[N+]C1CCCCC1,10-chloroanthracene-9-carbaldehyde|5-methylpyridin-2-amine|isocyanocyclohexane,Cc1ccc2nc(c3c4ccccc4c(c4ccccc34)[Cl])c(NC3CCCCC3)n2c1,"2-(10-chloroanthracen-9-yl)-N-cyclohexyl-6-methylimidazo[1,2-a]pyridin-3-amine",,CC(C)O.CC(C)O,O=C(O)C(F)(F)F
C(c1ccc(cc1[Cl])O)=O.CC1=CN=C(C=C1)N.[C-]#[N+]C1CCCCC1,2-chloro-4-hydroxybenzaldehyde|5-methylpyridin-2-amine|isocyanocyclohexane,Cc1ccc2nc(c3ccc(cc3[Cl])O)c(NC3CCCCC3)n2c1,"3-chloro-4-[3-(cyclohexylamino)-6-methylimidazo[1,2-a]pyridin-2-yl]phenol",,CC(C)O.CC(C)O,O=C(O)C(F)(F)F
CC1=CN=C(C=C1)N.[C-]#[N+]C1CCCCC1.C(c1c(cnc2c1cc[nH]2)[Cl])=O,"5-methylpyridin-2-amine|isocyanocyclohexane|5-chloro-1H-pyrrolo[2,3-b]pyridine-4-carbaldehyde",Cc1ccc2nc(c3c(cnc4c3cc[nH]4)[Cl])c(NC3CCCCC3)n2c1,"2-(5-chloro-1H-pyrrolo[2,3-b]pyridin-4-yl)-N-cyclohexyl-6-methylimidazo[1,2-a]pyridin-3-amine",,CC(C)O.CC(C)O,O=C(O)C(F)(F)F
CC1=CN=C(C=C1)N.[C-]#[N+]C1CCCCC1.C(c1cc(C#N)ccc1[Cl])=O,5-methylpyridin-2-amine|isocyanocyclohexane|4-chloro-3-formylbenzonitrile,Cc1ccc2nc(c3cc(C#N)ccc3[Cl])c(NC3CCCCC3)n2c1,"4-chloro-3-[3-(cyclohexylamino)-6-methylimidazo[1,2-a]pyridin-2-yl]benzonitrile",,CC(C)O.CC(C)O,O=C(O)C(F)(F)F
C(c1ccc(cc1)[Br])=O.CC1=CN=C(C=C1)N.[C-]#[N+]C1CCCCC1,4-bromobenzaldehyde|5-methylpyridin-2-amine|isocyanocyclohexane,Cc1ccc2nc(c3ccc(cc3)[Br])c(NC3CCCCC3)n2c1,"2-(4-bromophenyl)-N-cyclohexyl-6-methylimidazo[1,2-a]pyridin-3-amine",,CC(C)O.CC(C)O,O=C(O)C(F)(F)F
CC1=CN=C(C=C1)N.[C-]#[N+]C1CCCCC1.C(c1cc(ccc1O)F)=O,5-methylpyridin-2-amine|isocyanocyclohexane|5-fluoro-2-hydroxybenzaldehyde,Cc1ccc2nc(c3cc(ccc3O)F)c(NC3CCCCC3)n2c1,"2-[3-(cyclohexylamino)-6-methylimidazo[1,2-a]pyridin-2-yl]-4-fluorophenol",,CC(C)O.CC(C)O,O=C(O)C(F)(F)F
C(c1ccc2cccnc2c1)=O.CC1=CN=C(C=C1)N.[C-]#[N+]C1CCCCC1,quinoline-7-carbaldehyde|5-methylpyridin-2-amine|isocyanocyclohexane,Cc1ccc2nc(c3ccc4cccnc4c3)c(NC3CCCCC3)n2c1,"N-cyclohexyl-6-methyl-2-quinolin-7-ylimidazo[1,2-a]pyridin-3-amine",,CC(C)O.CC(C)O,O=C(O)C(F)(F)F
C(c1cccc(c1O)O)=O.CC1=CN=C(C=C1)N.[C-]#[N+]C1CCCCC1,"2,3-dihydroxybenzaldehyde|5-methylpyridin-2-amine|isocyanocyclohexane",Cc1ccc2nc(c3cccc(c3O)O)c(NC3CCCCC3)n2c1,"3-[3-(cyclohexylamino)-6-methylimidazo[1,2-a]pyridin-2-yl]benzene-1,2-diol",,CC(C)O.CC(C)O,O=C(O)C(F)(F)F
C(c1c(ccc(c1F)F)[Br])=O.CC1=CN=C(C=C1)N.[C-]#[N+]C1CCCCC1,"6-bromo-2,3-difluorobenzaldehyde|5-methylpyridin-2-amine|isocyanocyclohexane",Cc1ccc2nc(c3c(ccc(c3F)F)[Br])c(NC3CCCCC3)n2c1,"2-(6-bromo-2,3-difluorophenyl)-N-cyclohexyl-6-methylimidazo[1,2-a]pyridin-3-amine",,CC(C)O.CC(C)O,O=C(O)C(F)(F)F
