reactant_smiles,reactant_iupac,product_smiles,product_iupac,reagent_smiles,solvent_smiles,catalyst_smiles
CC(C)=O.COc1ccc(S(=O)(=O)Cl)cc1.[I-].[Na+],propan-2-one|4-methoxybenzenesulfonyl chloride|iodide|sodium(1+),COc1ccc(S(=O)[O-])cc1.[Na+],4-methoxybenzenesulfinate|sodium(1+),,,
CC(C)(C)OC(=O)CC(=O)[O-].O=C(n1ccnc1)n1ccnc1.CC1(C)OC(=O)C(CC(=O)O)O1.CN(C)C=O.CCN(CC)CC.[Cl-].[Cl-].[Mg+2].C1CCOC1,"3-[(2-methylpropan-2-yl)oxy]-3-oxopropanoate|di(imidazol-1-yl)methanone|2-(2,2-dimethyl-5-oxo-1,3-dioxolan-4-yl)acetic acid|N,N-dimethylformamide|N,N-diethylethanamine|chloride|chloride|magnesium(2+)|oxolane",CC(C)(C)OC(=O)CC(=O)CC1OC(C)(C)OC1=O,"tert-butyl 4-(2,2-dimethyl-5-oxo-1,3-dioxolan-4-yl)-3-oxobutanoate",,,
CCO[CH+]OCC.CC1(C)CCC(=O)CC1.CCN(C(C)C)C(C)C.F[B-](F)(F)F,"ethoxymethylidene(ethyl)oxidanium|4,4-dimethylcyclohexan-1-one|N-ethyl-N-propan-2-ylpropan-2-amine|tetrafluoroborate",CCOC(OCC)C1CC(C)(C)CCC1=O,"2-(diethoxymethyl)-4,4-dimethylcyclohexan-1-one",,,
CC(C)=O.CCO.O=Cc1ccc(-c2cccs2)s1.[K+].[OH-].O,propan-2-one|ethanol|5-thiophen-2-ylthiophene-2-carbaldehyde|potassium(1+)|hydroxide|oxidane,CC(=O)C=Cc1ccc(-c2cccs2)s1,4-(5-thiophen-2-ylthiophen-2-yl)but-3-en-2-one,,,
Cl.O=C([O-])C(O)(C(F)(F)F)C(F)(F)F.[Na+].[Na+].[Na+].O=C([O-])[O-].O,"chlorane|3,3,3-trifluoro-2-hydroxy-2-(trifluoromethyl)propanoate|sodium(1+)|sodium(1+)|sodium(1+)|carbonate|oxidane",O=C(C(F)(F)F)C(F)(F)F.O,"1,1,1,3,3,3-hexafluoropropan-2-one|oxidane",,,
CC(=O)N(C)c1csc(Br)n1.CO.[Na],"N-(2-bromo-1,3-thiazol-4-yl)-N-methylacetamide|methanol|sodium",COc1nc(N(C)C(C)=O)cs1,"N-(2-methoxy-1,3-thiazol-4-yl)-N-methylacetamide",,,
Cl.Cl.[H][H].NCC(=O)CCC(=O)O.N.[Na].O.O=[N+]([O-])O,chlorane|chlorane|molecular hydrogen|5-amino-4-oxopentanoic acid|azane|sodium|oxidane|nitric acid,NCC(=O)CCC(=O)O.O=[N+]([O-])O,5-amino-4-oxopentanoic acid|nitric acid,,,
CCn1c2ccccc2c2cc(C=O)ccc21.CCN(CC)CC.NN.C1CCOC1.O.O,"9-ethylcarbazole-3-carbaldehyde|N,N-diethylethanamine|hydrazine|oxolane|oxidane|oxidane",CCn1c2ccccc2c2cc(C=NN)ccc21,(9-ethylcarbazol-3-yl)methylidenehydrazine,,,
COC(=O)c1ccc(C(C)(C)C)c(C#N)c1.C1COCCO1.[Li+].[OH-],"methyl 4-tert-butyl-3-cyanobenzoate|1,4-dioxane|lithium(1+)|hydroxide",CC(C)(C)c1ccc(C(=O)O)cc1C#N,4-tert-butyl-3-cyanobenzoic acid,,,
CCN(CC)CC.C#Cc1cncc(Cl)c1.[Cu]I.Fc1ccc(I)cc1F.Cl[Pd]Cl.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,"N,N-diethylethanamine|3-chloro-5-ethynylpyridine|iodocopper|1,2-difluoro-4-iodobenzene|dichloropalladium|triphenylphosphane|triphenylphosphane",Fc1ccc(C#Cc2cncc(Cl)c2)cc1F,"3-chloro-5-[2-(3,4-difluorophenyl)ethynyl]pyridine",,,
CCOC(=O)Nc1nc2ncc(C)nc2s1.Cl.[Na+].[OH-],"ethyl N-(6-methyl-[1,3]thiazolo[4,5-b]pyrazin-2-yl)carbamate|chlorane|sodium(1+)|hydroxide",Cc1cnc2nc(N)sc2n1,"6-methyl-[1,3]thiazolo[4,5-b]pyrazin-2-amine",,,
COC(=O)c1sc(Cl)c(Cl)c1NC(C)=O.CCN(CC)CC.CO.[H][H],"methyl 3-acetamido-4,5-dichlorothiophene-2-carboxylate|N,N-diethylethanamine|methanol|molecular hydrogen",COC(=O)c1scc(Cl)c1NC(C)=O,methyl 3-acetamido-4-chlorothiophene-2-carboxylate,,,
CCI.CCOc1nsnc1-c1cccnc1.CC(C)=O,"iodoethane|3-ethoxy-4-pyridin-3-yl-1,2,5-thiadiazole|propan-2-one",CCOc1nsnc1-c1ccc[n+](CC)c1.[I-],"3-ethoxy-4-(1-ethylpyridin-1-ium-3-yl)-1,2,5-thiadiazole|iodide",,,
CCC[O-].CCCO.[Na+].Sc1ccc2ccccc2c1,propan-1-olate|propan-1-ol|sodium(1+)|naphthalene-2-thiol,CCCSc1ccc2ccccc2c1,2-propylsulfanylnaphthalene,,,
