reactant_smiles,reactant_iupac,product_smiles,product_iupac,reagent_smiles,solvent_smiles,catalyst_smiles
C1CCOC1.O=[N+]([O-])c1cc(F)c(F)cc1F.[H-].N#Cc1ccsc1N.[Na+],"oxolane|1,2,4-trifluoro-5-nitrobenzene|hydride|2-aminothiophene-3-carbonitrile|sodium(1+)",N#Cc1ccsc1Nc1cc(F)c(F)cc1[N+](=O)[O-],"2-(4,5-difluoro-2-nitroanilino)thiophene-3-carbonitrile",,,
Cc1cccc(C)c1.[Cl-].Cl.CCCCC1CO1,"1,3-xylene|chloride|chlorane|2-butyloxirane",CCCCC(CO)c1ccc(C)cc1C,"2-(2,4-dimethylphenyl)hexan-1-ol",,,
CCOCCCO.Clc1nsnc1-c1cccnc1.[H-].[Na+].C1CCOC1.O,"3-ethoxypropan-1-ol|3-chloro-4-pyridin-3-yl-1,2,5-thiadiazole|hydride|sodium(1+)|oxolane|oxidane",CCOCCCOc1nsnc1-c1cccnc1,"3-(3-ethoxypropoxy)-4-pyridin-3-yl-1,2,5-thiadiazole",,,
CC=CCC1C(=O)c2cc(C)ccc2C1(C)C.CO.ClCCl.O=[O+][O-],"2-but-2-enyl-3,3,6-trimethyl-2H-inden-1-one|methanol|dichloromethane|ozone",Cc1ccc2c(c1)C(=O)C(CC=O)C2(C)C,"2-(1,1,5-trimethyl-3-oxo-2H-inden-2-yl)acetaldehyde",,,
CCO.Nc1cc2c(cc1[N+](=O)[O-])CCC2.Cl[Sn]Cl,"ethanol|6-nitro-2,3-dihydro-1H-inden-5-amine|dichlorotin",Nc1cc2c(cc1N)CCC2,"2,3-dihydro-1H-indene-5,6-diamine",,,
[Cl-].[H-].[NH4+].[Na+].Cc1ccc(S(=O)(=O)OCC2CO2)cc1.CN(C)C=O.O.Oc1cccn2nccc12,"chloride|hydride|azanium|sodium(1+)|oxiran-2-ylmethyl 4-methylbenzenesulfonate|N,N-dimethylformamide|oxidane|pyrazolo[1,5-a]pyridin-4-ol",c1cc(OCC2CO2)c2ccnn2c1,"4-(oxiran-2-ylmethoxy)pyrazolo[1,5-a]pyridine",,,
CCO.CCOC(C)=O.CS(=O)(=O)OCCc1cccc2cc[nH]c12.NCCO,ethanol|ethyl acetate|2-(1H-indol-7-yl)ethyl methanesulfonate|2-aminoethanol,OCCNCCc1cccc2cc[nH]c12,2-[2-(1H-indol-7-yl)ethylamino]ethanol,,,
COc1cccc2c1C(C)C(=O)N2C.CC[O-].CCO.N#CCI.[Na+],"4-methoxy-1,3-dimethyl-3H-indol-2-one|ethanolate|ethanol|2-iodoacetonitrile|sodium(1+)",COc1cccc2c1C(C)(CC#N)C(=O)N2C,"2-(4-methoxy-1,3-dimethyl-2-oxoindol-3-yl)acetonitrile",,,
Cc1ccc(-n2ncc3cc([N+](=O)[O-])ccc32)nc1.Cc1ccc(-n2cc3cc([N+](=O)[O-])ccc3n2)nc1.CCO,1-(5-methylpyridin-2-yl)-5-nitroindazole|2-(5-methylpyridin-2-yl)-5-nitroindazole|ethanol,Cc1ccc(-n2ncc3cc(N)ccc32)nc1,1-(5-methylpyridin-2-yl)indazol-5-amine,,,
O=C([O-])[O-].CC(=O)N(C)C.COc1ccc(O)cc1.O=Cc1cc(Cl)ccc1F.ClCCl.[Na+].[Na+].O,"carbonate|N,N-dimethylacetamide|4-methoxyphenol|5-chloro-2-fluorobenzaldehyde|dichloromethane|sodium(1+)|sodium(1+)|oxidane",COc1ccc(Oc2ccc(Cl)cc2C=O)cc1,5-chloro-2-(4-methoxyphenoxy)benzaldehyde,,,
COC(=O)c1cc2c3cccc(Cl)c3n(C)c2s1.[K+].[OH-],"methyl 5-chloro-4-methylthieno[2,3-b]indole-2-carboxylate|potassium(1+)|hydroxide",Cn1c2sc(C(=O)O)cc2c2cccc(Cl)c21,"5-chloro-4-methylthieno[2,3-b]indole-2-carboxylic acid",,,
[Al+3].CC(C)=Cc1ccc(C#N)s1.[H-].[H-].[H-].[H-].[Li+].[Na+].C1CCOC1.[OH-].O,aluminum(3+)|5-(2-methylprop-1-enyl)thiophene-2-carbonitrile|hydride|hydride|hydride|hydride|lithium(1+)|sodium(1+)|oxolane|hydroxide|oxidane,CC(C)=Cc1ccc(CN)s1,[5-(2-methylprop-1-enyl)thiophen-2-yl]methanamine,,,
O=c1cc(-c2ccncn2)nc2n1CCOCC2Br.N,"10-bromo-2-pyrimidin-4-yl-6,7,9,10-tetrahydropyrimido[1,2-d][1,4]oxazepin-4-one|azane",NC1COCCn2c1nc(-c1ccncn1)cc2=O,"10-amino-2-pyrimidin-4-yl-6,7,9,10-tetrahydropyrimido[1,2-d][1,4]oxazepin-4-one",,,
CC1CO1.c1cnc2ccc3cc[nH]c3c2c1,"2-methyloxirane|6H-pyrrolo[2,3-f]quinoline",CC(O)Cn1ccc2ccc3ncccc3c21,"1-pyrrolo[2,3-f]quinolin-1-ylpropan-2-ol",,,
CC(C)N.COc1ccc(CCN)cc1OC.O=C(O)C(O)CCl.O=C(O)CCC(O)CCl,"propan-2-amine|2-(3,4-dimethoxyphenyl)ethanamine|3-chloro-2-hydroxypropanoic acid|5-chloro-4-hydroxypentanoic acid",CC(C)NCC(O)CCC(=O)O,4-hydroxy-5-(propan-2-ylamino)pentanoic acid,,,
