product_smiles,reactant_smiles,rxn_smiles,reactant_iupac,product_iupac
CC(C)CC(=O)c1ccc(O)nc1,CC(C)C[Mg+].CON(C)C(=O)c1ccc(O)nc1,[CH2:15]([CH:16]([CH3:17])[CH3:18])[Mg+:19].[OH:1][c:2]1[n:3][cH:4][c:5]([C:6](=[O:7])[N:8]([O:9][CH3:10])[CH3:11])[cH:12][cH:13]1>>[OH:1][c:2]1[n:3][cH:4][c:5]([C:6](=[O:7])[CH2:15][CH:16]([CH3:17])[CH3:18])[cH:12][cH:13]1,CC(C)C[Mg+]|N-methoxy-N-methyl-6-oxo-1H-pyridine-3-carboxamide,5-(3-methylbutanoyl)-1H-pyridin-2-one
CNc1ccc(C(=O)O)cc1[N+](=O)[O-],CN.O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1,[CH3:14][NH2:15].[N+:1](=[O:2])([O-:3])[c:4]1[cH:5][c:6]([C:7](=[O:8])[OH:9])[cH:10][cH:11][c:12]1[Cl:13]>>[N+:1](=[O:2])([O-:3])[c:4]1[cH:5][c:6]([C:7](=[O:8])[OH:9])[cH:10][cH:11][c:12]1[NH:15][CH3:14],methanamine|4-chloro-3-nitrobenzoic acid,4-(methylamino)-3-nitrobenzoic acid
CC(=O)c1ccc(Cl)c(NS(C)(=O)=O)c1,CC(=O)c1ccc(Cl)c(Nc2ccccc2)c1.CS(=O)(=O)Cl,[C:1]([CH3:2])(=[O:3])[c:4]1[cH:5][cH:6][c:7]([Cl:17])[c:8]([NH:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[cH:9]1.[CH3:18][S:19]([Cl:20])(=[O:21])=[O:22]>>[C:1]([CH3:2])(=[O:3])[c:4]1[cH:5][cH:6][c:7]([Cl:17])[c:8]([NH:10][S:19]([CH3:18])(=[O:21])=[O:22])[cH:9]1,1-(3-anilino-4-chlorophenyl)ethanone|methanesulfonyl chloride,N-(5-acetyl-2-chlorophenyl)methanesulfonamide
O=C(Oc1cc(=O)[nH]cc1Cl)c1cccnc1,O=C(Cl)c1cccnc1.O=c1cc(O)c(Cl)c[nH]1,[C:2]([c:3]1[cH:4][n:5][cH:6][cH:7][cH:8]1)(=[O:9])[Cl:10].[Cl:11][c:12]1[c:13]([OH:19])[cH:14][c:15](=[O:18])[nH:16][cH:17]1>>[C:2]([c:3]1[cH:4][n:5][cH:6][cH:7][cH:8]1)(=[O:9])[O:19][c:13]1[c:12]([Cl:11])[cH:17][nH:16][c:15](=[O:18])[cH:14]1,pyridine-3-carbonyl chloride|5-chloro-4-hydroxy-1H-pyridin-2-one,(5-chloro-2-oxo-1H-pyridin-4-yl) pyridine-3-carboxylate
BrC(CCOc1ccccc1)c1ccccc1,O=C1CCC(=O)N1Br.c1ccc(CCCOc2ccccc2)cc1,[Br:27][N:28]1[C:29](=[O:30])[CH2:31][CH2:32][C:33]1=[O:34].[c:8]1([CH2:14][CH2:15][CH2:16][O:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[c:8]1([CH:14]([CH2:15][CH2:16][O:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[Br:27])[cH:9][cH:10][cH:11][cH:12][cH:13]1,"1-bromopyrrolidine-2,5-dione|3-phenoxypropylbenzene",(1-bromo-3-phenoxypropyl)benzene
CC(=O)Nc1ccc(CO)cc1,CC(=O)Nc1ccc(C=O)cc1,[C:1]([CH3:2])(=[O:3])[NH:4][c:5]1[cH:6][cH:7][c:8]([CH:9]=[O:10])[cH:11][cH:12]1>>[C:1]([CH3:2])(=[O:3])[NH:4][c:5]1[cH:6][cH:7][c:8]([CH2:9][OH:10])[cH:11][cH:12]1,N-(4-formylphenyl)acetamide,N-[4-(hydroxymethyl)phenyl]acetamide
COc1nccnc1NN,COc1nccnc1I.NN,[I:6][c:7]1[n:8][cH:9][cH:10][n:11][c:12]1[O:13][CH3:14].[NH2:16][NH2:17]>>[c:7]1([NH:16][NH2:17])[n:8][cH:9][cH:10][n:11][c:12]1[O:13][CH3:14],2-iodo-3-methoxypyrazine|hydrazine,(3-methoxypyrazin-2-yl)hydrazine
N#CSCC(=O)c1ccc(C(F)(F)F)cc1,O=C(CBr)c1ccc(C(F)(F)F)cc1.N#C[S-],[Br:1][CH2:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([C:11]([F:12])([F:13])[F:14])[cH:9][cH:10]1.[S-:16][C:17]#[N:18]>>[CH2:2]([C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([C:11]([F:12])([F:13])[F:14])[cH:9][cH:10]1)[S:16][C:17]#[N:18],2-bromo-1-[4-(trifluoromethyl)phenyl]ethanone|thiocyanate,[2-oxo-2-[4-(trifluoromethyl)phenyl]ethyl] thiocyanate
CC(=O)Nc1ccc(S(=O)(=O)C(F)(F)F)cc1[N+](=O)[O-],CC(=O)Nc1ccc(S(=O)(=O)C(F)(F)F)cc1.O=[N+]([O-])O,[F:1][C:2]([S:3](=[O:4])(=[O:5])[c:6]1[cH:7][cH:8][c:9]([NH:12][C:13]([CH3:14])=[O:15])[cH:10][cH:11]1)([F:16])[F:17].[OH:18][N+:19]([O-:20])=[O:21]>>[F:1][C:2]([S:3](=[O:4])(=[O:5])[c:6]1[cH:7][c:8]([N+:19](=[O:18])[O-:20])[c:9]([NH:12][C:13]([CH3:14])=[O:15])[cH:10][cH:11]1)([F:16])[F:17],N-[4-(trifluoromethylsulfonyl)phenyl]acetamide|nitric acid,N-[2-nitro-4-(trifluoromethylsulfonyl)phenyl]acetamide
CC(C)(C)CNC(=O)N(CCCl)N=O,CC(C)(C)CNC(=O)NCCCl.O=N[O-],[CH2:1]([C:2]([CH3:3])([CH3:4])[CH3:5])[NH:6][C:7](=[O:8])[NH:9][CH2:10][CH2:11][Cl:12].[N:16](=[O:17])[O-:18]>>[CH2:1]([C:2]([CH3:3])([CH3:4])[CH3:5])[NH:6][C:7](=[O:8])[N:9]([CH2:10][CH2:11][Cl:12])[N:16]=[O:17],"1-(2-chloroethyl)-3-(2,2-dimethylpropyl)urea|nitrite","1-(2-chloroethyl)-3-(2,2-dimethylpropyl)-1-nitrosourea"
